Šifra,Oznaka,Naziv dijagnoze,Latinski naziv dijagnoze
5561,M545,Bol u krstima,Dolor sacralis
5562,M546,Bol u grudnom delu kičme,Dolor dorsi thoracalis
5563,M548,Drugi bol u leđima,Dorsalgia alia
5564,M549,"Bol u leđima, neoznačen","Dorsalgia, non specificata"
5565,M60,Zapaljenje mišića,Myositis
5566,M600,Zarazno zapaljenje mišića,Myositis infectiva
5567,M601,Medjućelijsko zapaljenje mišića,Myositis interstitialis
5568,M602,Zrnasti tumor mekih tkiva kao strano telo,"Granuloma corporis alieni musculorum, trndinis, ligamenti et synovialis"
5569,M608,Drugo zapaljenje mišića,Myositis alia
5570,M609,"Zapaljenje mišića, neoznačeno","Myositis, non specificata"
5571,M61,Kalcifikacija - zakrečavanje mišića i okoštavanje mišića,Calcificatio musculi et ossificatio musculi
5572,M610,Zapaljenje mišića sa okoštavanjem posle povrede,Myositis ossificans traumatica
5573,M611,Progredirajuće zapaljenje mišića sa okoštavanjem,Myositis ossificans progressiva
5574,M612,Kalcifikacija mišića i okoštavanje oduzetog mišića,Calcificatio musculi et ossificatio musculi paralytici
5575,M613,Kalcifikacija mišića i okoštavanje mišića sa opekotinama,Calcificatio musculi et ossificatio musculi cum combustionibus
5576,M614,Druga kalcifikacija mišića,Calcificatio musculi alia
5577,M615,Drugo okoštavanje mišića,Ossificatio musculi alia
5578,M619,"Kalcifikacija mišića i okoštavanje mišića, neoznačeno","Calcificatio musculi et ossificatio musculi, non specificata"
5579,M62,Druge bolesti mišića,Morbi musculi alii
5580,M620,Razmicanje mišića,Diastasis musculi
5581,M621,Drugo prsnuće mišića,Ruptura musculi alia
5582,M622,Izumiranje mišića kod krvotoka,Infarctus musculi ischaemicus
5583,M623,Nepokrenost kod oduzetosti obe noge,Syndroma immobilitatis (paraplegica)
5584,M624,Zgrčenost mišića,Contractura musculi
5585,M625,Usahlost mišića,Atrophia musculi
5586,M626,Povreda mišića,Laesio musculi
5587,M628,Druge označene bolesti mišića,"Morbi musculorum alii, specificati"
5588,M629,"Bolest mušića, neoznačena","Morbus musculi, non specificatus"
5589,M63,Bolesti mišića u drugim bolestima,Morbi musculorum in morbis aliis
5590,M630,Zapaljenje mišića u drugim bakterijskim bolestima,Myositis in morbis bacterialibus aliis
5591,M631,Zapaljenje mišića u drugim protozoalnim i parazitarnim infekcijama,Myositis in infectionibus protozoalibus et parazitariis aliis
5592,M632,Zapaljenje mišića u drugim zaraznim bolestima,Myositis in morbis infectivis aliis
5593,M633,Zapaljenje mišića u sarkoidozi,Myositis sarcoidosa (D86.8+)
5594,M638,Druge bolesti mišića u drugim bolestima,Morbi musculorum alii in morbis
5595,M65,Zapaljenje sinovije i zapaljenje tetive sa sinovijom,Synovitis et tenosynovitis
5596,M650,Gnojno zapaljenje tetiva sa sinovijom,Tenosynovitis purulenta
5597,M651,Drugo zarazno zapaljenje tetive sa sinovijom,Tenosynovitis infectiva alia
5598,M652,Kalcifikacijsko zapaljenje titiva,Tendinitis calcificata
5599,M653,Prst okidač,Digitus detendens
5600,M654,de Quervainova bolest,Tenosynovitis radii styloidis (de Quervain)
5601,M658,Drugo zapaljenje sinovije i zapaljenje tetive sa sinovijom,Synovitis et tenosynovitis alia
5602,M659,"Zapaljenje sinovije i zapaljenje tetive sa sinovijom, neoznačeno","Synovitis et tenosynovitis, non specificata"
5603,M66,Spontano prsnuće sinovije i tetive,Ruptura synoviae et tendinis spontanea
5604,M660,Prsniće zatkolene ciste,Ruptura cystis popliteae
5605,M661,Spontano prsnuće sinovije,Ruptura synoviae spontanea
5606,M662,Spontano prsnuće tetive opružača,Ruptura tendinis extensoris spontanea
5607,M663,Spontano prsnuće tetive pregibača,Ruptura tendinis flexoris spontanea
5608,M664,Spontano prsnuće drugih tetiva,Ruptura tendinum aliarum spontanea
5609,M665,"Spontano prsuće tetive, neoznačeno","Ruptura tendinis spontanea, non specificata"
5610,M67,Druge bolesti sinovije i tetive,Morbi synoviae et tendinis alii
5611,M670,Stečena skraćena Ahilova tetiva,Tendo calcanei brevis acquisita
5612,M671,Druga zgrčenost tetive,Contractura tendinis (tunicarum) alia
5613,M672,Zadebljanje sinovije,Hypertrophia synovialis
5614,M673,Prolazno zapaljenje sinovije,Synovitis transitiva
5615,M674,Nervni čvor,Ganglion
5616,M678,Druge označene bolesti sinovije i tetive,"Morbi synoviae et tendinis alii, specificati"
5617,M679,"Bolest sinovije i tetive, neoznačena","Morbus synovialis et tendinis, non specificatus"
5618,M68,Bolesti sinovije i tetive u drugim bolestima,Morbi synoviae et tendinis in morbis aliis
5619,M680,Bolesti sinovije i tetive u bakterijskim bolestima,Morbi synoviae et tendinis in morbie bacterialibus
5620,M688,Druge bolesti sinovije i tetive u drugim bolestima,Morbi synoviae et tendinis alii in morbis aliis
5621,M70,"Bolesti mekih tkiva usled aktivnosti, povećane aktivnosti i pritiska","Morbi textuum mollium propter activitatem, hyperactivitatem et pressionem"
5622,M700,Hronično puckavo zapaljenje sinovije šake i doručnog zgloba,Synovitis manus et articuli crepitans chronica
5623,M701,Zapaljenje serozne kese šake,Bursitis manus
5624,M702,Zapaljenje serozne kese vrha lakta,Bursitis olecrani
5625,M703,Drugo zapaljenje serozne kese lakta,Bursitis cubiti alia
5626,M704,Zapaljenje serozne kese ispred čašice,Bursitis praepatellaris
5627,M705,Drugo zapaljenje serozne kese kolena,Bursitis genus alia
5628,M706,Zapaljenje serozne kese gornje kvrge buta,Bursitis trochanterica
5629,M707,Drugo zapaljenje serozne kese kuka,Bursitis coxae alia
5630,M708,"Druge bolesti mekih tkiva zbog aktivnosti,povećane aktivnosti i pritiska","Morbi textuum mollium propter activitatem,hyperactivitatem et pressionem alii"
5631,M709,"Bolesti mekog tkiva zbog aktivnosti,povećane aktivnosti i pritiska,neoznačena","Morbus textuum mollium propter activitatem,hyperactivitatem et pressionem,non sp"
5632,M71,Druga oboljenja serozne kese,Bursopathiae aliae
5633,M710,Gnojno zapaljenje serozne kese,Bursitis purulenta
5634,M711,Drugo zarazno zapaljenje serozne kese,Bursitis infectiva alia
5635,M712,Bakerova serozna cista zatkolene jame,Cystis synovialis poplitea (Baker)
5636,M713,Druga cista serozne kese,Cystis bursae alia
5637,M714,Kalcifikacija serozne kese,Calcificatio bursae
5638,M715,Drugo zapaljenje serozne kese,Bursitis alia
5639,M718,Drugo označeno oboljenje serozne kese,"Bursopathia alia, specificata"
5640,M719,"Oboljenje serozne kese, neoznačeno","Bursopathia, non specificata"
5641,M72,Bolesti umnožavanja vezivnog tkiva,Morbi fibroblastici
5642,M720,Dupuytrenova zgrčenost tetive dlana,Fibromatosis fasciae palmaris (Dupuytren)
5643,M721,Mesnati gležanj,Caro malleoli mollis (malleolus carnosus)
5644,M722,Stvaranje mnogobrojnih tumora ovojnica tabana,Fibromatosis fasciae plantaris
5645,M723,Čvorasto zapaljenje tetive,Fasciitis nodularis
5646,M724,Pseudosarkomatoza tetive,Fibromatosis pseudosarcomatosa
5647,M725,Zapaljenje vezivne opne,Fasciitis
5648,M728,Druge bolesti umnožavanja vezivnog tkiva,Morbi fibroblastici alii
5649,M729,"Bolest umnožavanja vezivnog tkiva, neoznačena","Morbus fibroblasticus, non specificatus"
5650,M73,Bolest mekih tkiva u drugim bolestima,Morbi textuum mollium in morbis aliis
5651,M730,Zapaljenje serozne kese uzrokovano gonokokom,Bursitis gonococcica (A54.4+)
5652,M731,Zapaljenje serozne kese uzrokovano sifilisom,Bursitis syphilitica (A52.7+)
5653,M738,Druge bolesti mekih tkiva u drugim bolestima,Morbi textuum mollium in morbis aliis
5654,M75,Bolesti zgloba ramenjače,Morbi articull humeri
5655,M750,Adhezivno zapaljenje kapsule ramenjače,Capsulitis humeri adhaesiva
5656,M751,"Sindrom ""okretanja narukvice""",Syndroma armillae rotatoriae
5657,M752,Zapaljenje tetive dvoglavog mišića,Tendinitis bicipitis
5658,M753,Kalcifikacijsko zapaljenje tetiva ramenjače,Tendinitis humeri calcificata
5659,M754,Sindrom ramenjače uzrokovan udarom,Syndroma humeri percussionalis
5660,M755,Zapaljenje serozne kese ramenjače,Bursitis humeri
5661,M758,Druge bolesti zgloba ramenjače,Morbi articuli humeri alii
5662,M759,"Bolest zgloba ramenjače, neoznačena","Morbus articuli humeri, non specificatus"
5663,M76,"Entezopatija noge, isključujući stopalo","Enthesopathia extremitatis inferioris,pedem excludens"
5664,M760,Zapaljenje tetive sedalnog mišića,Tendinitis glutaealis
5665,M761,Zapaljenje tetive bedreno-slabinskog mišića,Tendinitis iliopsoae
5666,M762,Izraštaj grebena bedrene kosti,Excrescentia cristae ilicae
5667,M763,Sindrom bedreno-golenjačke trake,Syndroma lemnisci iliotibialis
5668,M764,Pellegrin-Stiedino kolateralno zapaljenje serozne kese golenjače,Bursitis collateralis tibiae (Pellegrin-Stieda)
5669,M765,Zapaljemje tetive čašice kolena,Tendinitis patellaris
5670,M766,Zapaljenje tetive kosti pete,Tendinitis calcanei
5671,M767,Zapaljenje tetive lista,Tendinitia peronaealis
5672,M768,"Druge entezopatije noge, osim stopala","Enthesopathiae extremitatis inferioris,pedem excludens,aliae"
5673,M769,"Entezopatija noge, neoznačena","Enthesopathia extremitatis inferioris,non specificata"
5674,M77,Druga entezopatija,Enthesopathia alia
5675,M770,Zapaljenje unutrašnjeg izbočenja gležnja,Epicondylitis medialis
5676,M771,Zapaljenje spoljašnjeg izbočenja gležnja,Epicondylitis lateralis
5677,M772,Zapaljenje okolozglobnog tkiva ručja,Periarthritis carpi
5678,M773,Izraslina na kosti pete,Excrescentia calcanei (calx dolorosa)
5679,M774,Bol u donožju,Metatarsalgia
5680,M775,Druga entezopatija stopala,Enthesopathia pedis alia
5681,M778,Druga entezopatija,Enthesopathia alia
5682,M779,"Entezopatija, neoznačena","Enthesopathia, non specificata"
5683,M79,Druge bolesti mekih tkiva,Morbi textuum mollium alii
5684,M790,"Reumatizam, neoznačen",Rheumatismus non specificatus
5685,M791,Bol u mišiću,Myalgia
5686,M792,"Neuralgički bol i zapaljenje živca, neoznačeno","Neuralgia et neuritis, non specificata"
5687,M793,"Zapaljenje masnog potkožnog tkiva, neoznačeno","Panniculitis, non specificata"
5688,M794,Zadebljanje podčašičnog masnog tkiva kolena,Hypertrophia corporis adiposi infrapatellaris
5689,M795,Zaostalo strano telo u mekom tkivu,Corpus alienum in textu molli residuale
5690,M796,Bol u udu,Dolor extremitatis
5691,M798,Druge označene bolesti mekih tkiva,"Morbi textuum mollium alii, specificati"
5692,M799,"Bolest mekih tkiva, neoznačena","Morbus textuum mollium, non specificatus"
5693,M80,Gubitak koštane mase sa patološkim prelomom,Osteoporosis cum fractura pathologica
5694,M800,Gubitak koštane mase sa patološkim prelomom posle menopauze,Osteoporosis postmenopausalis cum fractura pathologica
5695,M801,Gubitak koštane mase sa patološkim prelomom posle odstranjenja jajnika,Osteoporosis post ovariectomiam cum fractura pathologica
5696,M802,Gubitak koštane mase sa patološkim prelomom uzrokovan fizičkom nepokretnošću,Osteoporosis immobilisationalis cum fractura pathologica
5697,M803,Gubitak koštane mase sa patološkim prelomom posle operacija,Osteoporosis malabsorptionalis postchirurgica cum fractura pathologica
5698,M804,Gubitak koštane mase sa patološkim prelomom uzrokovan upotrebom leka,Osteoporosis medicamontosa cum fractura parhologica
5699,M805,Samopojavni gubitak koštane mase sa patološkim prelomom,Osteoporosis idiopathica cum fractura pathologica
5700,M808,Drugi gubitak koštane mase sa patološkim prelomom,"Osteoporosis cum fractura pathologica,alia"
5701,M809,"Gubitak koštane mase sa patološkim prelomom, neoznačen","Osteoporosis cum fractura pathologica,non specificata"
5702,M81,Gubitak koštane mase bez patološkog preloma,Osteoporosis sine fractura pathologica
5703,M810,Gubitak koštane mase posle menopauze,Osteoporosis postmenopausalis
5704,M811,Gubitak koštane mase posle odstranjenja jajnika,Osteoporosis post ovariectomiam
5705,M812,Gubitak koštane mase uzrokovan nepokretnošću,Osteoporosis immobilisationalis
5706,M813,Gubitak koštane mase posle operacije,Osteoporosis malabsorptionalis postchirurgica
5707,M814,Gubitak koštane mase uzrokovan upotrebom leka,Osteoporosis medicamentosa
5708,M815,Samopojavni gubitak koštane mase,Osteoporosis idiopathica
5709,M816,Lequesneov ograničeni gubitak koštane mase,Osteoporosis Lequesne localisata
5710,M818,Drugi gubitak koštane mase,Osteoporosis alia
5711,M819,"Gubitak koštane mase, neoznačen","Osteoporosis, non specificata"
5712,M82,Gubitak koštane mase u drugim bolestima,Osteoporosis in morbis aliis
5713,M820,Gubitak koštane mase kod višestrukog tumora koštane srži,Osteoporosis in myelomatosi multiplici (C90.0+)
5714,M821,Gubitak koštane srži u bolestima žlezda sa unutrašnjim lučenjem,Osteoporosis in morbis endocrinis (E00-E34+)
5715,M828,Gubitak koštane mase u drugim bolestima,Osteoporosis in morbis aliis
5716,M83,Razmekšavanje kosti u odrasle osobe,Osteomalacia ad adultum
5717,M830,Razmekšavanje kosti u babinjama,Osteomalacia puerperalis
5718,M831,Razmekšavanje kosti u starosti,Osteomalacia senilis
5719,M832,Razmekšavanje kosti uzrokovano slabom apsorpcijom u odrasle osobe,Osteomalacia ad adultum malabsorptionalis
5720,M833,Razmekšavanje kosti uzrokovano nedovoljnom ishranom u odrasle osobe,Osteomalacia ad adultum malnutritionalis
5721,M834,Oboljenje kosti uzrokovano aluminijumom,Morbus ossium aluminicus
5722,M835,Drugo razmekšavanje kosti u odrasle osobe uzrokovano lekovima,Osteomalatia ad adultum medicamentosa alia
5723,M838,Drugo razmekšavanje kosti u odrasle osobe,Osteomalacia ad adultum alia
5724,M839,"Razmekšavanje kosti u odrasle osobe, neoznačeno","Osteomalacia ad adultum, non specificata"
5725,M84,Bolesti kontinuiteta kosti,Morbi continuitatis ossis
5726,M840,Loše zarastanje preloma,Malconcretio fracturae
5727,M841,Nezarastanje kosti-lažni zglob,Inconcretio ossis (pseudoarthrosis)
5728,M842,Usporeno zarastanje preloma,Concretio fracturae retardata
5729,M843,Prelom uzrokovan pritiskom,Fractura pressionalis
5730,M844,Patološki prelom,Fractura pathologica
5731,M848,Druge bolesti kontinuiteta kosti,Morbi continuitatis ossis alii
5732,M849,"Bolest kontinuiteta kosti, neoznačena","Morbus continuitatis ossis, non specificatus"
5733,M85,Druge bolesti čvrstine i strukture kosti,Morbi densitatis et structurae ossis alii
5734,M850,Nepravilan razvoj vezivnog tkiva,Dysplasia fibrosa
5735,M851,Fluoroza kosti,Fluorosis sceleti
5736,M852,Izraštaj kosti lobanje,Hyperosteosis cranii
5737,M853,Kondenzacijsko zapaljenje kosti,Osteitis condensans
5738,M854,Solitarna cista kosti,Cystis ossis solitaria
5739,M855,Aneurizmatska cista kosti,Cystis ossis aneurismatica
5740,M856,Druga cista kosti,Cystis ossis alia
5741,M858,Druge označene bolesti čvrstine i strukture kosti,"Morbi densitatis et structurae ossis alii,specificati"
5742,M859,"Bolest čvrstine i strukture kosti, neoznačena","Morbus densitatis et structurae ossis,non specificatus"
5743,M86,Zapaljenje srži kosti,Osteomyelitis
5744,M860,Akutno hematogeno zapaljenje srži kosti,Osteomyelitis haematogenes acuta
5745,M861,Drugo akutno zapaljenje srži kosti,Osteomyelitis acuta alia
5746,M862,Subakutno zapaljenje srži kosti,Osteomyelitis subacuta
5747,M863,Hronično višežarišno zapaljenje srži kosti,Osteomyelitis multifocalis chronica
5748,M864,Hronično zapaljenje srži kosti sa dreniranjem žarišta,Osteomyelitis cum fluore foci chronica
5749,M865,Drugo hronično hematogeno zapaljenje srži kosti,Osteomyelitis haematogenes chronica alia
5750,M866,Drugo hronično zapaljenje srži kosti,Osteomyelitis chronica alia
5751,M868,Drugo zapaljenje srži kosti,Osteomyelitis alia
5752,M869,"Zapaljenje srži kosti, neoznačeno","Osteomyelitis, non specificata"
5753,M87,Izumiranje kosti,Osteonecrosis
5754,M870,Samopojavno aseptičko izumiranje kosti,Osteonecrosis aseptica idiopathica
5755,M871,Izumiranje kosti uzrokovano lekovima,Osteonecrosis medicamentosa
5756,M872,Izumiranje kosti posle povrede,Osteonecrosis posttraumatica
5757,M873,Drugo sekundarno izumiranje kosti,Osteonecrosis secundaria alia
5758,M878,Drugo izumiranje kosti,Osteonecrosis alia
5759,M879,"Izumiranje kosti, neoznačeno","Osteonecrosis, non specificata"
5760,M88,Pagetova bolest,Osteitis deformans Paget
5761,M880,Pagetova bolest lobanje,Morbus Paget cranii
5762,M888,Pagetova bolest drugih kostiju,Morbus Paget ossium aliorum
5763,M889,"Pagetova bolest, neoznačena","Morbus Paget ossium, non classificatus"
5764,M89,Druge bolesti kostiju,Morbi ossium alii
5765,M890,Bolni živčano mišićni poremećaji ishranjivanja,Algoneurodystrophia
5766,M891,Zastoj rasta okrajka duge kosti,Stasis epiphysica
5767,M892,Druge bolesti rasta i razvoja kostiju,Morbi staturae et evolutionis ossium alii
5768,M893,Zadebljanje kostiju,Hypertrophia ossium
5769,M894,Drugo koštano-zglobno zadebljanje,Osteoartropathia hypertrophica alia
5770,M895,Rastapanje koštanog tkiva,Osteolysis
5771,M896,Oboljenje kostiju posle dečje paralize,Osteopathia postpolyomyelitica
5772,M898,Druge označene bolesti kostiju,"Morbi ossium alii, specificati"
5773,M899,"Bolest kostiju, neoznačena","Morbus ossium, non specificatus"
5774,M90,Oboljenje kosti u drugim bolestima,Osteopathia in morbis aliis
5775,M900,Tuberkuloza kosti,Osteomyelitis tuberculosa (18.0+)
5776,M901,Zapaljenje pokosnice u drugim zaraznim bolestima,Periosteitis in morbis infectivis aliis
5777,M902,Oboljenje kosti u drugim zaraznim bolestima,Osteopathia in morbis infectivis aliis
5778,M903,Izumiranje kosti uzrokovano kesonskom bolešću,Osteonecrosis in morbo capsico (T70.3+)
5779,M904,Izumiranje kosti uzrokovano poremećajem hemoglobina,Osteonecrosis haemoglobinopathica
5780,M905,Izumiranje kosti u drugim bolestima,Osteonecrosis in morbis aliis
5781,M906,Deformacijsko zapaljenje kosti uzrokovano tumorom,Osteitis deformans neoplastica (C00-D48+)
5782,M907,Prelom kostiju uzrokovan tumorom,Fractura ossium neoplastica (C00-D48+)
5783,M908,Oboljemje kosti u drugim bolestima,Osteopathia in morbis aliis
5784,M91,Koštano-hrskavičavo oboljenje kuka i karlice u dece,Osteochondrosis coxae et pelvis puerilis
5785,M910,Koštano-hrskavičavo oboljenje karlice u dece,Osteochondrosis pelvis puerilis
5786,M911,Koštano hrskavičavo oboljenje glave butne kosti u dece (L-C-P),Osteochondrosis capitis femoralis puerilis(Legg-Calve-Perthes)
5787,M912,Ravan kuk,Coxa plana
5788,M913,Lažni bol u kuku,Pseudocoxalgia
5789,M918,Drugo koštano hrskavičavo oboljenje kuka i karlice u dece,Osteochondrosis coxae et pelvis puerilis alia
5790,M919,"Koštano hrskavičavo oboljenje kuka i karlice u dece,neoznačeno","Osteochondrosis coxae et pelvis puerilis,non specificata"
5791,M92,Drugo koštano-hrskavičavo oboljenje u dece,Osteochondrosis puerilis alia
5792,M920,Koštano-hrskavičavo oboljenje ramenjače u dece,Osteochondrosis humeri puerilis
5793,M921,Koštano-hrskavičavo oboljenje žbice i lakatne kosti u dece,Osteochondrosis radii et ulnae puerilis
5794,M922,Koštano-hrskavičavo oboljenje šake u dece,Osteochondrosis manua puerilis
5795,M923,Drugo koštano-hrskavičavo oboljenje ruke u dece,Osteochondrosis extremitatis superioris puerilis alia
5796,M924,Koštano-hrskavičavo oboljenje čašice kolena u dece,Osteochondrosis patellae puerilis
5797,M925,Koštano-hrskavičavo oboljenje golenjače i lišnjače u dece,Osteochondrosis tibiae et tibulae puerilis
5798,M926,Koštano-hrskavičavo oboljenje korena stopala u dece,Osteochondrosis tarsi puerilis
5799,M927,Koštano-hrskavičavo oboljenje donožne kosti u dece,Osteochondrosis metatarsi puerilis
5800,M928,Drugo označeno koštano-hrskavičavo oboljenje u dece,Osteochondrosis puerilis alia specificata
5801,M929,"Koštano-hrskavičavo oboljenje u dece, neoznačeno","Osteochondrosis puerilis, non specificata"
5802,M93,Druga koštano-hrskavičava oboljenja,Osteochondropathiae aliae
5803,M930,Iskliznuće gornjeg okrajka kosti buta neuzrokovano povredom,Prolapsus epiphysis femoralis superioris (non traumaticus)
5804,M931,Klenbockova bolest odrasle osobe,Morbus-Klenbock adulti
5805,M932,Razarajuće koštano-hrskavičavo zapaljenje,Osteochondritis dissecans
5806,M938,Drugo označeno koštano-hrskavičavo oboljenje,"Osteochondropathia alia, specificata"
5807,M939,"Koštano-hrskavičavo oboljenje, neoznačeno","Osteochondropathia, non specificata"
5808,M94,Druge bolesti hrskavice,Morbi cartilaginis alii
5809,M940,Tietzeov sindrom hrskavično-koštanog spoja,Syndroma connexus chondrocostalis (Tietze)
5810,M941,Povratno zapaljenje više hrskavica,Polychondritis recidiva
5811,M942,Razmekšavanje hrskavice,Chondromalacia
5812,M943,Rastapanje hrskavice,Chondrolysis
5813,M948,Druge označene bolesti hrskavice,"Morbi cartilaginis alii, specificati"
5814,M949,"Bolest hrskavice, neoznačena","Morbus cartilaginis, non specificatus"
5815,M95,Druge stečene deformacije mišića i kostiju,Deformationes musculorum et ossium acquisitae aliae
5816,M950,Stečena deformacija nosa,Deformatio nasi acquisita
5817,M951,Karfiolasto uvo,Auris cymosa
5818,M952,Stečena deformacija glave,Deformatio capitis acquisita
5819,M953,Stečena deformacija vrata,Deformatio colli acquisita
5820,M954,Stečena deformacija grudnog koša i rebra,Deformatio thoracis et costae acquisita
5821,M955,Stečena deformacija karlice,Deformatio pelvis acquisita
5822,M958,Druge označene deformacije mišića i kostiju,"Deformationes musculorum et ossium acquisitae aliae,specificatae"
5823,M959,"Stečena deformacija mišića i kostiju,neoznačena","Detormatio musculorum et ossium acquisita,non specificata"
5824,M96,Bolesti mišića i kostiju posle operacije,Morbi musculorum et ossium post proceduras chirurgicas
5825,M960,Lažan zglob nastao posle spajanja kosti ili artroze,Pseudoarthrosis post fusionem sive arthrosim
5826,M961,Postlaminektomijski sindrom,Syndroma post laminectomiam
5827,M962,Grba kao posledica zračenja,Kyphosis postradiationalis
5828,M963,Grba posle operacije pršljena,Kyphosis postlaminectomialis
5829,M964,Kičma iskrivljena unapred posle operacije pršljena,Lordosis postoperativa
5830,M965,Kičma iskrivljena u stranu kao posledica zračenja,Scoliosis postradiationalis
5831,M966,"Prelom kostiju posle ugradnje ortopedskih implantata,proteze zgloba ili koštane","Fractura ossium post instalationem inplantatuum orthopaedicorum,prothesis articu"
5832,M968,Druge bolesti mišića i kostiju posle operacije,Morbi musculorum et ossium post proceduras chirurgicas alii
5833,M969,"Bolest mišića i kostiju posle operacije,neoznačena","Morbus musculorum et ossium post proceduras chirurgicam,non specificatus"
5834,M99,Biomehaničke ozlede,Leasiones biomechanicae
5835,M990,Poremećaj funkcije delova tela i celog tela,Dysfunctio segmentalis et somatica
5836,M991,Nepotpuno iščašenje pršljenova kičme,Subluxatio columnae vertebralis
5837,M992,Suženje kanala živca kod iščašenja pršljena,Stenosis canalis neuralis subluxationalis
5838,M993,Koštano suženje kanala živca,Stenosis canalis neuralis ossea
5839,M994,Suženje kanala živca vezivnim tkivom,Stenosis canalis neuralis textu connexivo
5840,M995,Suženje kanala živca međupršljenskim diskusom,Stenosis canalis neuralis discalis
5841,M996,Koštano međupršljensko suženje otvora i nepotpuno iščašenje međupršljenskog disk,Stenosis foraminis intervertebralis ossea et subluxatio discalis
5842,M997,Suženje međupršljenskog otvora tkivom i međupršljenskim diskusom,Stenosis foraminis intervertebralis textu connexivo et discalis
5843,M998,Druge biomehaničke povrede,Laesiones biomechanicae aliae
5844,M999,"Biomehanička povreda, neoznačena","Laesio biomechanica, non specificata"
5845,N00,Akutni zapaljenjski bubrežni sindrom,Syndroma nephritica acuta
5846,N000,Akutni zapaljenski bubrežni sindrom- laesiones glomerulares minores,Syndroma nephritica acuta- laesiones glomerulares minores
5847,N001,Akutni zapaljenski bubrežni sindrom-glomerulonephritis focalis et segmentalis,Syndroma nephritica acuta-glomerulonephritis focalis et segmentalis
5848,N002,Akutni zapaljenski bubrežni sindrom-glomerulonephritis membranosa difusa,Syndroma nephritica acuta-glomerulonephritis membranosa difusa
5849,N003,Akutni zapaljenski bubrežni sindrom-glomerulonephritis mesangioproliferativa dif,Syndroma nephritica acuta-glomerulonephritis mesangioproliferativa difusa
5850,N004,Akutni zapaljenski bubrežni sindrom-glomerulonephritis endocapilaris proliferati,Syndroma nephritica acuta-glomerulonephritis endocapilaris proliferativa difusa
5851,N005,Akutni zapaljenski bubrežni sindrom-glomerulonephritis mesangiocapilaris difusa,Syndroma nephritica acuta-glomerulonephritis mesangiocapilaris difusa
5852,N006,Akutni zapaljenski bubrežni sindrom-glomerulonephritis membranoproliferativa typ,Syndroma nephritica acuta-glomerulonephritis membranoproliferativa typus 2
5853,N007,Akutni zapaljenski bubrežni sindrom-glomerulonephritis extracapillaris,Syndroma nephritica acuta-glomerulonephritis extracapillaris
5854,N008,Akutni zapaljenski bubrežni sindrom-glomerulonephritis proliferativa NOS,Syndroma nephritica acuta-glomerulonephritis proliferativa NOS
5855,N009,"Akutni zapaljenski bubrežni sindrom-glomerulonephritis,non specificata","Syndroma nephritica acuta-glomerulonephritis,non specificata"
5856,N01,Perakutni progresivni zapaljenski bubrežni sindrom,Syndroma nephritica progressiva peracuta
5857,N010,Perakutni progresivni zapaljenski bubrežni sindrom-laesiones glomerulares minore,Syndroma nephritica progressiva peracuta-laesiones glomerulares minores
5858,N011,Perakutni progresivni zapaljenski bubrežni sindrom-glomerulonephritis focalis et,Syndroma nephritica progressiva peracuta-glomerulonephritis focalis et segmental
5859,N012,Perakutni progresivni zapaljenski bubrežni sindrom-glomerulonephritis membranosa,Syndroma nephritica progressiva peracuta-glomerulonephritis membranosa difusa
5860,N013,Perakutni progresivni zapaljenski bubrežni sindrom-glomerulonephritis mesangiopr,Syndroma nephritica progressiva peracuta-glomerulonephritis mesangioproliferativ
5861,N014,Perakutni progresivni zapaljenski bubrežni sindrom-glomerulonephritis endocapill,Syndroma nephritica progressiva peracuta-glomerulonephritis endocapillaris proli
5862,N015,Perakutni progresivni zapaljenski bubrežni sindrom-glomerulonephritis mesangioca,Syndroma nephritica progressiva peracuta-glomerulonephritis mesangiocapillaris d
5863,N016,Perakutni progresivni zapaljenski bubrežni sindrom-glomerulonephritis membranopr,Syndroma nephritica progressiva peracuta-glomerulonephritis membranoproliferativ
5864,N017,Perakutni progresivni zapaljenski bubrežni sindrom-glomerulonephritis extracapil,Syndroma nephritica progressiva peracuta-glomerulonephritis extracapillaris
5865,N018,Perakutni progresivni zapaljenski bubrežni sindrom-glomerulonephritis proliferat,Syndroma nephritica progressiva peracuta-glomerulonephritis proliferativa NOS
5866,N019,"Perakutni progresivni zapaljenski bubrežni sindrom-glomerulonephritis,non specif","Syndroma nephritica progressiva peracuta-glomerulonephritis,non specificata"
5867,N02,Povratna i trajna pojava krvi u mokraći,Haematuria recidiva et persistens
5868,N020,Povratna i trajna pojava krvi u mokraći-laesiones glomerulares minores,Haematuria recidiva et persistens-laesiones glomerulares minores
5869,N021,Povratna i trajna pojava krvi u mokraći-glomerulonephritis focalis et segmentali,Haematuria recidiva et persistens-glomerulonephritis focalis et segmentalis
5870,N022,Povratna i trajna pojava krvi u mokraći-glomerulonephritis membranosa diffusa,Haematuria recidiva et persistens-glomerulonephritis membranosa diffusa
5871,N023,Povratna i trajna pojava krvi u mokraći-glomerulonephritis mesangioproliferativa,Haematuria recidiva et persistens-glomerulonephritis mesangioproliferativa diffu
5872,N024,Povratna i trajna pojava krvi u mokraći-glomerulonephritis endocapillaris prolif,Haematuria recidiva et persistens-glomerulonephritis endocapillaris proliferativ
